Hokus Pokus met Alfond Alfrink (2013)
Het vosje en het meisje (2007)
Dracula Untold (2014)
Bad Company (2002)
Marked for Death (1990)
Charlie's Angels: Full Throttle (2003)
Amour sur place ou &agrave; emporter (2014)
Interview with the Vampire: The Vampire Chronicles (1994)
Assassination Games (2011)
